,state,county,poverty_percent_17,median_household_income_17
214,CA,Madera County,21.2,"50,783"
215,CA,Marin County,7.9,"112,735"
216,CA,Mariposa County,15.2,"52,387"
217,CA,Mendocino County,16.3,"50,453"
218,CA,Merced County,23.0,"48,036"
219,CA,Modoc County,19.2,"40,970"
220,CA,Mono County,9.3,"60,318"
221,CA,Monterey County,11.9,"70,294"
222,CA,Napa County,6.8,"83,881"
223,CA,Nevada County,11.0,"64,901"
224,CA,Orange County,11.5,"86,031"
225,CA,Placer County,7.8,"81,366"
226,CA,Plumas County,14.3,"51,756"
227,CA,Riverside County,12.9,"63,776"
228,CA,Sacramento County,14.1,"62,959"
229,CA,San Benito County,8.4,"77,200"
230,CA,San Bernardino County,16.0,"60,270"
231,CA,San Diego County,11.9,"76,048"
232,CA,San Francisco County,10.1,"109,601"
233,CA,San Joaquin County,15.5,"60,950"
234,CA,San Luis Obispo County,11.9,"70,634"
235,CA,San Mateo County,6.4,"115,908"
236,CA,Santa Barbara County,14.2,"70,651"
237,CA,Santa Clara County,7.5,"118,468"
238,CA,Santa Cruz County,12.6,"76,633"
239,CA,Shasta County,17.0,"51,207"
240,CA,Sierra County,13.7,"49,495"
241,CA,Siskiyou County,17.7,"44,013"
242,CA,Solano County,10.0,"75,931"
243,CA,Sonoma County,9.3,"79,511"
244,CA,Stanislaus County,14.0,"58,925"
245,CA,Sutter County,13.2,"54,102"
246,CA,Tehama County,20.1,"41,819"
247,CA,Trinity County,20.3,"40,676"
248,CA,Tulare County,24.0,"46,377"
249,CA,Tuolumne County,12.2,"58,776"
250,CA,Ventura County,9.5,"82,436"
251,CA,Yolo County,17.5,"64,900"
252,CA,Yuba County,15.3,"53,822"
253,CO,Colorado,10.3,"69,113"
254,CO,Adams County,10.6,"65,977"
255,CO,Alamosa County,21.3,"43,121"
256,CO,Arapahoe County,7.8,"75,196"
257,CO,Archuleta County,11.7,"52,481"
258,CO,Baca County,19.7,"35,725"
259,CO,Bent County,32.0,"37,307"
260,CO,Boulder County,12.6,"80,701"
261,CO,Broomfield County,4.6,"91,968"
262,CO,Chaffee County,11.4,"53,545"
263,CO,Cheyenne County,13.6,"50,571"
264,CO,Clear Creek County,7.8,"71,850"
265,CO,Conejos County,21.2,"36,852"
266,CO,Costilla County,27.3,"30,486"
267,CO,Crowley County,47.4,"38,112"
268,CO,Custer County,13.2,"54,080"
269,CO,Delta County,16.7,"43,528"
270,CO,Denver County,12.5,"64,974"
271,CO,Dolores County,12.8,"44,882"
272,CO,Douglas County,3.2,"112,386"
273,CO,Eagle County,7.5,"88,913"
274,CO,Elbert County,4.9,"102,731"
275,CO,El Paso County,10.8,"65,260"
276,CO,Fremont County,16.6,"48,820"
277,CO,Garfield County,7.6,"71,897"
278,CO,Gilpin County,6.9,"79,636"
279,CO,Grand County,8.7,"61,241"
280,CO,Gunnison County,14.8,"53,480"
281,CO,Hinsdale County,8.6,"59,157"
282,CO,Huerfano County,20.8,"37,424"
283,CO,Jackson County,13.7,"48,785"
284,CO,Jefferson County,7.6,"80,562"
285,CO,Kiowa County,14.0,"43,845"
286,CO,Kit Carson County,11.6,"44,028"
287,CO,Lake County,12.2,"49,799"
288,CO,La Plata County,9.2,"61,974"
289,CO,Larimer County,11.0,"69,443"
290,CO,Las Animas County,23.7,"39,552"
291,CO,Lincoln County,17.6,"45,308"
292,CO,Logan County,15.8,"50,246"
293,CO,Mesa County,14.9,"52,623"
294,CO,Mineral County,8.5,"55,906"
295,CO,Moffat County,11.0,"57,680"
296,CO,Montezuma County,15.2,"48,692"
297,CO,Montrose County,12.9,"51,031"
298,CO,Morgan County,11.4,"50,453"
299,CO,Otero County,23.5,"37,907"
300,CO,Ouray County,7.7,"63,627"
301,CO,Park County,8.6,"69,884"
302,CO,Phillips County,10.9,"52,096"
303,CO,Pitkin County,5.9,"78,596"
304,CO,Prowers County,18.2,"41,238"
305,CO,Pueblo County,18.2,"44,060"
306,CO,Rio Blanco County,9.5,"58,336"
307,CO,Rio Grande County,18.4,"41,693"
308,CO,Routt County,6.9,"76,505"
309,CO,Saguache County,24.4,"36,558"
310,CO,San Juan County,13.6,"46,985"
311,CO,San Miguel County,7.7,"70,418"
312,CO,Sedgwick County,15.5,"39,880"
313,CO,Summit County,7.3,"75,420"
314,CO,Teller County,8.8,"68,078"
315,CO,Washington County,12.9,"48,325"
316,CO,Weld County,9.4,"68,679"
317,CO,Yuma County,13.0,"48,893"
318,CT,Connecticut,9.7,"74,428"
319,CT,Fairfield County,8.8,"91,170"
320,CT,Hartford County,11.0,"70,433"
321,CT,Litchfield County,6.9,"77,968"
322,CT,Middlesex County,6.8,"81,533"
323,CT,New Haven County,11.0,"66,764"
324,CT,New London County,8.6,"71,721"
325,CT,Tolland County,7.4,"75,571"
326,CT,Windham County,11.5,"62,606"
327,DE,Delaware,13.0,"64,085"
328,DE,Kent County,13.2,"57,112"
329,DE,New Castle County,13.4,"66,839"
330,DE,Sussex County,11.9,"61,124"
331,DC,District of Columbia,16.6,"80,153"
332,DC,District of Columbia,16.6,"80,153"
333,FL,Florida,14.1,"52,582"
334,FL,Alachua County,21.2,"45,230"
335,FL,Baker County,15.3,"51,856"
336,FL,Bay County,14.9,"51,633"
337,FL,Bradford County,19.1,"44,997"
338,FL,Brevard County,12.4,"52,596"
339,FL,Broward County,13.1,"56,702"
340,FL,Calhoun County,21.1,"37,612"
341,FL,Charlotte County,10.8,"51,583"
342,FL,Citrus County,14.4,"43,147"
343,FL,Clay County,9.9,"65,375"
344,FL,Collier County,11.7,"66,709"
345,FL,Columbia County,16.5,"42,097"
346,FL,DeSoto County,26.1,"37,342"
347,FL,Dixie County,24.4,"38,355"
348,FL,Duval County,15.1,"52,105"
349,FL,Escambia County,16.4,"48,289"
350,FL,Flagler County,12.0,"52,713"
351,FL,Franklin County,21.3,"40,158"
352,FL,Gadsden County,23.1,"38,084"
353,FL,Gilchrist County,16.1,"42,880"
354,FL,Glades County,18.9,"42,865"
355,FL,Gulf County,21.6,"44,135"
356,FL,Hamilton County,24.0,"35,262"
357,FL,Hardee County,23.3,"40,056"
358,FL,Hendry County,23.9,"38,361"
359,FL,Hernando County,14.0,"44,710"
360,FL,Highlands County,19.8,"37,445"
361,FL,Hillsborough County,15.5,"54,741"
362,FL,Holmes County,21.2,"40,657"
363,FL,Indian River County,10.6,"51,797"
364,FL,Jackson County,18.0,"41,524"
365,FL,Jefferson County,17.7,"48,163"
366,FL,Lafayette County,22.7,"41,549"
367,FL,Lake County,12.6,"51,429"
368,FL,Lee County,11.8,"54,198"
369,FL,Leon County,18.0,"51,716"
370,FL,Levy County,20.8,"37,272"
371,FL,Liberty County,23.0,"41,308"
372,FL,Madison County,28.3,"37,256"
373,FL,Manatee County,10.8,"55,189"
374,FL,Marion County,16.2,"43,772"
375,FL,Martin County,10.9,"58,344"
376,FL,Miami-Dade County,16.7,"49,758"
377,FL,Monroe County,11.8,"63,009"
378,FL,Nassau County,9.1,"70,590"
379,FL,Okaloosa County,10.9,"60,798"
380,FL,Okeechobee County,21.8,"42,524"
381,FL,Orange County,15.3,"54,021"
382,FL,Osceola County,14.0,"49,284"
383,FL,Palm Beach County,11.8,"60,059"
384,FL,Pasco County,13.0,"51,247"
385,FL,Pinellas County,12.2,"51,488"
386,FL,Polk County,16.1,"48,328"
387,FL,Putnam County,26.3,"34,390"
388,FL,St. Johns County,8.3,"77,022"
389,FL,St. Lucie County,12.8,"49,995"
390,FL,Santa Rosa County,10.2,"65,434"
391,FL,Sarasota County,9.2,"58,423"
392,FL,Seminole County,11.2,"63,865"
393,FL,Sumter County,9.1,"57,931"
394,FL,Suwannee County,20.3,"44,144"
395,FL,Taylor County,23.8,"41,557"
396,FL,Union County,22.2,"47,373"
397,FL,Volusia County,15.2,"46,911"
398,FL,Wakulla County,12.9,"55,717"
399,FL,Walton County,15.9,"52,922"
400,FL,Washington County,21.1,"36,052"
401,GA,Georgia,15.1,"56,117"
402,GA,Appling County,22.2,"40,862"
403,GA,Atkinson County,24.2,"34,821"
404,GA,Bacon County,28.2,"38,417"
405,GA,Baker County,24.6,"37,286"
406,GA,Baldwin County,25.2,"40,358"
407,GA,Banks County,13.5,"49,481"
408,GA,Barrow County,12.0,"60,028"
409,GA,Bartow County,13.2,"55,067"
410,GA,Ben Hill County,24.5,"32,370"
411,GA,Berrien County,18.6,"38,239"
412,GA,Bibb County,25.0,"39,047"
413,GA,Bleckley County,20.3,"44,262"
414,GA,Brantley County,19.0,"40,906"
415,GA,Brooks County,23.7,"36,030"
416,GA,Bryan County,10.4,"73,877"
417,GA,Bulloch County,24.6,"42,068"
418,GA,Burke County,23.1,"41,863"
419,GA,Butts County,18.3,"46,062"
420,GA,Calhoun County,35.1,"33,889"
421,GA,Camden County,12.5,"53,582"
422,GA,Candler County,24.7,"33,846"
423,GA,Carroll County,17.2,"51,388"
424,GA,Catoosa County,12.0,"53,833"
425,GA,Charlton County,25.6,"40,636"
426,GA,Chatham County,16.3,"54,667"
427,GA,Chattahoochee County,19.6,"44,439"
428,GA,Chattooga County,20.2,"39,325"
429,GA,Cherokee County,7.5,"78,247"
430,GA,Clarke County,26.6,"39,901"
431,GA,Clay County,33.1,"29,122"
432,GA,Clayton County,16.3,"44,757"
433,GA,Clinch County,27.6,"37,174"
434,GA,Cobb County,9.5,"75,485"
435,GA,Coffee County,24.9,"39,408"
436,GA,Colquitt County,25.6,"36,651"
437,GA,Columbia County,6.6,"75,832"
438,GA,Cook County,21.3,"36,463"
439,GA,Coweta County,10.4,"73,296"
440,GA,Crawford County,17.6,"47,422"
441,GA,Crisp County,29.7,"34,754"
442,GA,Dade County,15.2,"45,053"
443,GA,Dawson County,9.4,"64,930"
444,GA,Decatur County,21.9,"37,835"
445,GA,DeKalb County,15.3,"61,496"
446,GA,Dodge County,21.8,"36,067"
447,GA,Dooly County,27.6,"35,781"
448,GA,Dougherty County,28.2,"36,994"
449,GA,Douglas County,11.8,"60,177"
450,GA,Early County,26.7,"32,490"
451,GA,Echols County,26.5,"36,559"
452,GA,Effingham County,9.8,"68,109"
453,GA,Elbert County,22.9,"35,452"
454,GA,Emanuel County,27.6,"33,551"
455,GA,Evans County,28.0,"34,464"
456,GA,Fannin County,13.6,"42,986"
457,GA,Fayette County,5.7,"87,831"
458,GA,Floyd County,19.2,"45,979"
459,GA,Forsyth County,5.3,"103,083"
460,GA,Franklin County,18.7,"42,703"
461,GA,Fulton County,14.8,"64,901"
462,GA,Gilmer County,14.4,"46,200"
463,GA,Glascock County,17.3,"43,529"
464,GA,Glynn County,17.0,"50,740"
465,GA,Gordon County,14.0,"46,868"
466,GA,Grady County,20.3,"41,095"
467,GA,Greene County,17.0,"50,736"
468,GA,Gwinnett County,10.7,"68,957"
469,GA,Habersham County,13.3,"49,292"
470,GA,Hall County,13.3,"61,320"
471,GA,Hancock County,30.3,"31,247"
472,GA,Haralson County,15.3,"45,167"
473,GA,Harris County,8.3,"72,811"
474,GA,Hart County,18.9,"44,603"
475,GA,Heard County,18.9,"44,575"
476,GA,Henry County,9.8,"67,493"
477,GA,Houston County,13.0,"59,291"
478,GA,Irwin County,22.0,"38,511"
479,GA,Jackson County,11.5,"63,422"
480,GA,Jasper County,17.6,"50,234"
481,GA,Jeff Davis County,21.2,"36,786"
482,GA,Jefferson County,24.0,"35,201"
483,GA,Jenkins County,32.8,"32,472"
484,GA,Johnson County,29.0,"35,243"
485,GA,Jones County,12.9,"56,039"
486,GA,Lamar County,16.5,"41,060"
487,GA,Lanier County,20.5,"39,165"
488,GA,Laurens County,22.6,"38,078"
489,GA,Lee County,10.9,"68,891"
490,GA,Liberty County,16.8,"45,655"
491,GA,Lincoln County,18.1,"44,819"
492,GA,Long County,19.1,"48,328"
493,GA,Lowndes County,25.3,"42,019"
494,GA,Lumpkin County,13.9,"55,453"
495,GA,McDuffie County,21.2,"40,814"
496,GA,McIntosh County,19.5,"40,832"
497,GA,Macon County,29.6,"32,974"
498,GA,Madison County,15.9,"47,956"
499,GA,Marion County,23.9,"39,408"
500,GA,Meriwether County,19.9,"38,442"
501,GA,Miller County,23.8,"37,878"
502,GA,Mitchell County,27.5,"36,234"
503,GA,Monroe County,13.3,"57,038"
504,GA,Montgomery County,20.5,"41,858"
505,GA,Morgan County,12.0,"55,251"
506,GA,Murray County,17.2,"45,975"
507,GA,Muscogee County,22.6,"42,610"
508,GA,Newton County,13.4,"55,632"
509,GA,Oconee County,6.5,"92,216"
510,GA,Oglethorpe County,13.4,"44,718"
511,GA,Paulding County,8.3,"67,906"
512,GA,Peach County,19.6,"46,608"
513,GA,Pickens County,10.8,"61,145"
514,GA,Pierce County,19.4,"42,140"
515,GA,Pike County,10.7,"62,250"
516,GA,Polk County,19.0,"43,488"
517,GA,Pulaski County,22.5,"39,743"
518,GA,Putnam County,17.2,"47,710"
519,GA,Quitman County,26.1,"31,151"
520,GA,Rabun County,17.8,"43,042"
521,GA,Randolph County,33.6,"30,847"
522,GA,Richmond County,23.7,"38,297"
523,GA,Rockdale County,14.1,"59,341"
524,GA,Schley County,18.0,"43,568"
525,GA,Screven County,20.5,"38,870"
526,GA,Seminole County,29.2,"35,527"
527,GA,Spalding County,19.9,"45,121"
528,GA,Stephens County,18.7,"40,483"
529,GA,Stewart County,36.2,"31,800"
530,GA,Sumter County,25.5,"36,611"
531,GA,Talbot County,22.2,"36,269"
532,GA,Taliaferro County,26.5,"30,586"
533,GA,Tattnall County,27.3,"38,672"
534,GA,Taylor County,23.7,"35,608"
535,GA,Telfair County,34.6,"31,354"
536,GA,Terrell County,33.0,"33,939"
537,GA,Thomas County,17.9,"43,257"
538,GA,Tift County,21.7,"41,544"
539,GA,Toombs County,22.3,"35,226"
540,GA,Towns County,13.8,"44,055"
541,GA,Treutlen County,27.4,"34,473"
542,GA,Troup County,21.6,"43,112"
543,GA,Turner County,27.6,"33,310"
544,GA,Twiggs County,22.2,"39,639"
545,GA,Union County,15.4,"46,097"
546,GA,Upson County,20.5,"39,780"
547,GA,Walker County,15.6,"44,176"
548,GA,Walton County,12.3,"58,028"
549,GA,Ware County,22.0,"38,412"
550,GA,Warren County,27.9,"34,680"
551,GA,Washington County,26.7,"37,464"
552,GA,Wayne County,20.2,"45,814"
553,GA,Webster County,20.0,"39,266"
554,GA,Wheeler County,37.4,"31,001"
555,GA,White County,13.3,"50,194"
556,GA,Whitfield County,16.5,"42,568"
557,GA,Wilcox County,30.7,"35,015"
558,GA,Wilkes County,22.8,"34,897"
559,GA,Wilkinson County,23.5,"40,906"
560,GA,Worth County,21.6,"42,913"
561,HI,Hawaii,9.5,"77,936"
562,HI,Hawaii County,15.0,"56,540"
563,HI,Honolulu County,8.3,"80,947"
564,HI,Kalawao County,.,.
565,HI,Kauai County,10.1,"74,881"
566,HI,Maui County,10.0,"76,376"
567,ID,Idaho,12.6,"52,280"
568,ID,Ada County,10.8,"61,469"
569,ID,Adams County,14.5,"43,442"
570,ID,Bannock County,14.2,"51,093"
571,ID,Bear Lake County,11.7,"51,343"
572,ID,Benewah County,14.3,"43,570"
573,ID,Bingham County,12.5,"52,697"
574,ID,Blaine County,8.5,"68,101"
575,ID,Boise County,12.1,"56,067"
576,ID,Bonner County,13.7,"47,537"
577,ID,Bonneville County,10.5,"55,744"
578,ID,Boundary County,15.5,"43,835"
579,ID,Butte County,16.9,"45,226"
580,ID,Camas County,9.2,"51,045"
581,ID,Canyon County,15.5,"47,915"
582,ID,Caribou County,9.1,"58,739"
583,ID,Cassia County,12.7,"51,323"
584,ID,Clark County,14.5,"42,226"
585,ID,Clearwater County,15.7,"46,214"
586,ID,Custer County,14.7,"44,100"
587,ID,Elmore County,12.9,"45,708"
588,ID,Franklin County,8.2,"55,056"
589,ID,Fremont County,13.2,"48,581"
590,ID,Gem County,13.5,"47,481"
591,ID,Gooding County,14.9,"46,218"
592,ID,Idaho County,15.1,"42,503"
593,ID,Jefferson County,9.2,"59,869"
594,ID,Jerome County,13.7,"50,728"
595,ID,Kootenai County,10.6,"56,921"
596,ID,Latah County,16.5,"49,445"
597,ID,Lemhi County,16.1,"41,153"
598,ID,Lewis County,14.4,"44,674"
599,ID,Lincoln County,12.8,"49,207"
600,ID,Madison County,19.1,"40,666"
601,ID,Minidoka County,14.1,"48,485"
602,ID,Nez Perce County,12.0,"54,729"
603,ID,Oneida County,11.1,"60,264"
604,ID,Owyhee County,15.9,"44,251"
605,ID,Payette County,13.0,"50,817"
606,ID,Power County,14.6,"45,922"
607,ID,Shoshone County,17.4,"46,793"
608,ID,Teton County,8.3,"63,168"
609,ID,Twin Falls County,13.5,"50,909"
610,ID,Valley County,8.5,"56,532"
611,ID,Washington County,15.7,"41,757"
612,IL,Illinois,12.5,"63,044"
613,IL,Adams County,13.5,"49,088"
614,IL,Alexander County,30.3,"33,985"
615,IL,Bond County,13.3,"54,831"
616,IL,Boone County,8.8,"69,413"
617,IL,Brown County,14.9,"53,875"
618,IL,Bureau County,10.7,"55,632"
619,IL,Calhoun County,10.5,"55,138"
620,IL,Carroll County,11.5,"49,744"
621,IL,Cass County,13.3,"50,568"
622,IL,Champaign County,19.2,"51,466"
623,IL,Christian County,13.6,"52,817"
624,IL,Clark County,11.0,"55,205"
625,IL,Clay County,13.2,"45,028"
626,IL,Clinton County,8.2,"65,586"
627,IL,Coles County,19.5,"46,012"
628,IL,Cook County,14.6,"61,401"
629,IL,Crawford County,13.8,"49,712"
630,IL,Cumberland County,10.3,"55,622"
631,IL,DeKalb County,14.1,"60,856"
632,IL,De Witt County,11.7,"56,091"
633,IL,Douglas County,9.8,"54,538"
634,IL,DuPage County,6.2,"89,536"
635,IL,Edgar County,13.8,"46,916"
636,IL,Edwards County,10.9,"48,649"
637,IL,Effingham County,9.7,"60,061"
638,IL,Fayette County,18.2,"45,193"
639,IL,Ford County,11.6,"55,356"
640,IL,Franklin County,19.5,"40,682"
641,IL,Fulton County,15.2,"49,315"
642,IL,Gallatin County,18.9,"42,533"
643,IL,Greene County,14.8,"47,188"
644,IL,Grundy County,7.1,"76,214"
645,IL,Hamilton County,12.9,"49,092"
646,IL,Hancock County,11.7,"52,625"
647,IL,Hardin County,21.6,"40,160"
648,IL,Henderson County,11.2,"51,014"
649,IL,Henry County,11.0,"58,675"
650,IL,Iroquois County,12.9,"50,131"
651,IL,Jackson County,29.2,"38,157"
652,IL,Jasper County,11.9,"55,240"
653,IL,Jefferson County,17.4,"50,622"
654,IL,Jersey County,10.3,"58,928"
655,IL,Jo Daviess County,9.3,"51,866"
656,IL,Johnson County,15.0,"49,763"
657,IL,Kane County,9.2,"75,739"
658,IL,Kankakee County,15.0,"57,706"
